"Sample","Gate","GFP","GFP_median","mCherry","mCherry_median","mCherry/GFP","Name","Replicate","PHO2"
"Parent-yH295","singlets","chimera-GFP-A",1032,"PHO5pr-mCherry-A",946,0.916666666666667,"295",1,"pho2"
"Parent-yH296","singlets","chimera-GFP-A",972,"PHO5pr-mCherry-A",700,0.720164609053498,"296",1,"PHO2"
"A3-1-yH295-pH179","singlets","chimera-GFP-A",3906,"PHO5pr-mCherry-A",9032,2.31233998975934,"A3",1,"pho2"
"A3-2","singlets","chimera-GFP-A",3169,"PHO5pr-mCherry-A",6183,1.95108867150521,"A3",2,"pho2"
"A3-3","singlets","chimera-GFP-A",3805,"PHO5pr-mCherry-A",6449,1.69487516425756,"A3",3,"pho2"
"A20-1-yH295-pH177","singlets","chimera-GFP-A",6735,"PHO5pr-mCherry-A",6034,0.895916852264291,"A20",1,"pho2"
"A20-2","singlets","chimera-GFP-A",6854,"PHO5pr-mCherry-A",5402,0.788152903414065,"A20",2,"pho2"
"A20-3","singlets","chimera-GFP-A",6249,"PHO5pr-mCherry-A",6431,1.02912465994559,"A20",3,"pho2"
"A4-1-yH295-pH180","singlets","chimera-GFP-A",3171,"PHO5pr-mCherry-A",5396,1.70167139703564,"A4",1,"pho2"
"A4-2","singlets","chimera-GFP-A",2677,"PHO5pr-mCherry-A",4538,1.6951811729548,"A4",2,"pho2"
"A4-3","singlets","chimera-GFP-A",2881,"PHO5pr-mCherry-A",4319,1.499132245748,"A4",3,"pho2"
"A17-1-yH295-pH193","singlets","chimera-GFP-A",2671,"PHO5pr-mCherry-A",5479,2.05129165106702,"A17",1,"pho2"
"A17-2","singlets","chimera-GFP-A",2467,"PHO5pr-mCherry-A",5145,2.08552898256992,"A17",2,"pho2"
"A17-3","singlets","chimera-GFP-A",2162,"PHO5pr-mCherry-A",4812,2.22571692876966,"A17",3,"pho2"
"A18-1-yH295-pH194","singlets","chimera-GFP-A",1507,"PHO5pr-mCherry-A",1656,1.09887193098872,"A18",1,"pho2"
"A18-2","singlets","chimera-GFP-A",1482,"PHO5pr-mCherry-A",1707,1.15182186234818,"A18",2,"pho2"
"A18-3","singlets","chimera-GFP-A",1530,"PHO5pr-mCherry-A",1800,1.17647058823529,"A18",3,"pho2"
"A12-1-yH295-pH188","singlets","chimera-GFP-A",1310,"PHO5pr-mCherry-A",11478,8.7618320610687,"A12",1,"pho2"
"A12-2","singlets","chimera-GFP-A",1333,"PHO5pr-mCherry-A",11366,8.52663165791448,"A12",2,"pho2"
"A12-3","singlets","chimera-GFP-A",1318,"PHO5pr-mCherry-A",11839,8.98254931714719,"A12",3,"pho2"
"B3-1-yH296-pH179","singlets","chimera-GFP-A",1347,"PHO5pr-mCherry-A",12466,9.25463994060876,"B3",1,"PHO2"
"B3-2","singlets","chimera-GFP-A",2752,"PHO5pr-mCherry-A",30265,10.9974563953488,"B3",2,"PHO2"
"B3-3","singlets","chimera-GFP-A",2615,"PHO5pr-mCherry-A",28031,10.7193116634799,"B3",3,"PHO2"
"B20-1-yH296-pH177","singlets","chimera-GFP-A",2882,"PHO5pr-mCherry-A",24254,8.41568355308813,"B20",1,"PHO2"
"B20-2","singlets","chimera-GFP-A",3105,"PHO5pr-mCherry-A",25587,8.24057971014493,"B20",2,"PHO2"
"B20-3","singlets","chimera-GFP-A",3196,"PHO5pr-mCherry-A",24497,7.66489361702128,"B20",3,"PHO2"
"B4-1-yH296-pH180","singlets","chimera-GFP-A",1840,"PHO5pr-mCherry-A",24224,13.1652173913043,"B4",1,"PHO2"
"B4-2","singlets","chimera-GFP-A",1776,"PHO5pr-mCherry-A",21758,12.2511261261261,"B4",2,"PHO2"
"B4-3","singlets","chimera-GFP-A",1734,"PHO5pr-mCherry-A",20339,11.7295271049596,"B4",3,"PHO2"
"B17-1-yH296-pH193","singlets","chimera-GFP-A",1638,"PHO5pr-mCherry-A",17444,10.6495726495726,"B17",1,"PHO2"
"B17-2","singlets","chimera-GFP-A",1454,"PHO5pr-mCherry-A",17630,12.1251719394773,"B17",2,"PHO2"
"B17-3","singlets","chimera-GFP-A",1428,"PHO5pr-mCherry-A",20409,14.2920168067227,"B17",3,"PHO2"
"B18-1-yH296-pH194","singlets","chimera-GFP-A",1511,"PHO5pr-mCherry-A",18805,12.445400397088,"B18",1,"PHO2"
"B18-2","singlets","chimera-GFP-A",1584,"PHO5pr-mCherry-A",19613,12.3819444444444,"B18",2,"PHO2"
"B18-3","singlets","chimera-GFP-A",1543,"PHO5pr-mCherry-A",19113,12.3869086195723,"B18",3,"PHO2"
"B12-1-yH296-pH188","singlets","chimera-GFP-A",1386,"PHO5pr-mCherry-A",15009,10.8290043290043,"B12",1,"PHO2"
"B12-2","singlets","chimera-GFP-A",1411,"PHO5pr-mCherry-A",13204,9.35790219702339,"B12",2,"PHO2"
"B12-3","singlets","chimera-GFP-A",1386,"PHO5pr-mCherry-A",12951,9.34415584415584,"B12",3,"PHO2"
"PC-Lindsey","singlets","chimera-GFP-A",2114,"PHO5pr-mCherry-A",21494,10.1674550614948,"PC",1,"PHO2"
"NC-yH156","singlets","chimera-GFP-A",853,"PHO5pr-mCherry-A",26,0.0304806565064478,"NC",1,"PHO2"
